Date : 2025-06-03 09:38:24
Directory : c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front
Total : 65 files,  20900 codes, 172 comments, 1065 blanks, all 22137 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.css             | PostCSS            |        462 |         11 |         89 |        562 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.html            | HTML               |        181 |          9 |         17 |        207 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.spec.ts         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.ts              | TypeScript         |         21 |          0 |          7 |         28 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.html      | HTML               |        168 |          7 |         16 |        191 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.scss      | SCSS               |        426 |         10 |         85 |        521 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.ts        | TypeScript         |         94 |          2 |         14 |        110 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\fecha.pipe.ts                                 | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio-routing.module.ts                      | TypeScript         |         34 |          1 |          3 |         38 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio.module.ts                              | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.css                   | PostCSS            |        192 |          9 |         35 |        236 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.html                  | HTML               |         39 |          0 |         23 |         62 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.ts                    | TypeScript         |         60 |          2 |         22 |         84 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.css                   | PostCSS            |        577 |          5 |         96 |        678 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.html                  | HTML               |        250 |         11 |         19 |        280 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.ts                    | TypeScript         |         82 |          1 |         12 |         95 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.css               | PostCSS            |        515 |         13 |        101 |        629 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.html              | HTML               |        167 |          5 |          8 |        180 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.spec.ts           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.ts                | TypeScript         |         16 |          0 |          6 |         22 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\interface\usuario.interface.ts                       | TypeScript         |          0 |          0 |          3 |          3 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\localstorage.service.ts                              | TypeScript         |         32 |          0 |          5 |         37 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\index.html                                               | HTML               |         15 |          0 |          1 |         16 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\main.ts                                                  | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\styles.css                                               | PostCSS            |          9 |          1 |          2 |         12 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tailwind.config.js                                           | JavaScript         |         11 |          1 |          0 |         12 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.app.json                                            | JSON               |         13 |          2 |          1 |         16 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.json                                                | JSON with Comments |         31 |          2 |          1 |         34 |
| c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.spec.json                                           | JSON               |         13 |          2 |          1 |         16 |
| Total                                                                                                                                                                     |                    |     20,900 |        172 |      1,065 |     22,137 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
