"filename", "language", "Markdown", "JSON", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\README.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 14, 28
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\angular.json", "JSON", 0, 114, 0, 0, 0, 0, 0, 0, 1, 115
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\package-lock.json", "JSON", 0, 14219, 0, 0, 0, 0, 0, 0, 1, 14220
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 2, 36
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.css", "PostCSS", 0, 0, 0, 74, 0, 0, 0, 8, 14, 96
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 2, 42
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\auth.service.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 8, 35
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.css", "PostCSS", 0, 0, 0, 179, 0, 0, 0, 6, 26, 211
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 78, 0, 7, 8, 93
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 91, 0, 0, 2, 13, 106
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\registro\registro.component.html", "HTML", 0, 0, 0, 0, 0, 164, 0, 10, 12, 186
