"filename", "language", "JSON", "JSON with Comments", "TypeScript", "PostCSS", "HTML", "SCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\buscar\buscar.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\buscar\buscar.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\buscar\buscar.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\buscar\buscar.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.html", "HTML", 0, 0, 0, 0, 85, 0, 0, 0, 3, 9, 97
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.scss", "SCSS", 0, 0, 0, 0, 0, 373, 0, 0, 4, 61, 438
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.css", "PostCSS", 0, 0, 0, 462, 0, 0, 0, 0, 11, 89, 562
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 181, 0, 0, 0, 9, 17, 207
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.html", "HTML", 0, 0, 0, 0, 168, 0, 0, 0, 7, 16, 191
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.scss", "SCSS", 0, 0, 0, 0, 0, 426, 0, 0, 10, 85, 521
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 2, 14, 110
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\fecha.pipe.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio-routing.module.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.css", "PostCSS", 0, 0, 0, 192, 0, 0, 0, 0, 9, 35, 236
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 23, 62
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 2, 22, 84
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.css", "PostCSS", 0, 0, 0, 577, 0, 0, 0, 0, 5, 96, 678
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.html", "HTML", 0, 0, 0, 0, 250, 0, 0, 0, 11, 19, 280
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
